time,dt,lb_EX_A,ub_EX_A,lb_EX_C,ub_EX_C,pEX_A,pEX_C,k_R4,ub_R1,A,C,dummy_S,D,EX_A,EX_C,R4,update__pEX_A,update__pEX_C,update__A,update__C,update__update_A,update__update_C,bounds__dt,bounds__lb_EX_A,bounds__ub_EX_A,bounds__lb_EX_C,bounds__ub_EX_C,bounds__lb_default,bounds__ub_R1,bounds__k1,bounds__A,bounds__C,fba__ub_R1,fba__zero,fba__ub_default,fba__lb_EX_A,fba__ub_EX_A,fba__lb_EX_C,fba__ub_EX_C,fba__A,fba__C,fba__B1,fba__B2,fba__R1,fba__R2,fba__R3,fba__EX_A,fba__EX_C
22.0,5.0,-0.5111396449999999,1000.0,-0.31085305621027903,1000.0,-0.02237077,0.02237077,0.1,0.012277338861645929,2.555698224999999,1.5542652810513953,0.0,5.890036493948602,-0.02237077,0.02237077,0.0,-0.02237077,0.02237077,2.555698224999999,1.5542652810513953,0.0,0.0,5.0,-0.5111396449999999,1000.0,-0.31085305621027903,1000.0,-1000.0,0.012277338861645929,-0.2,2.555698224999999,1.5542652810513953,0.012277338861645929,0.0,1000.0,-0.5111396449999999,1000.0,-0.31085305621027903,1000.0,0.0,0.0,0.0,0.0,0.02237077,0.02237077,0.02237077,-0.02237077,0.02237077
23.0,5.0,-0.5066654909999998,1000.0,-0.28552919722704206,1000.0,-0.02237077,0.02237077,0.1,0.010051834863236143,2.533327454999999,1.4276459861352104,0.0,6.039026558864787,-0.02237077,0.02237077,0.0,-0.02237077,0.02237077,2.533327454999999,1.4276459861352104,0.0,0.0,5.0,-0.5066654909999998,1000.0,-0.28552919722704206,1000.0,-1000.0,0.010051834863236143,-0.2,2.533327454999999,1.4276459861352104,0.010051834863236143,0.0,1000.0,-0.5066654909999998,1000.0,-0.28552919722704206,1000.0,0.0,0.0,0.0,0.0,0.02237077,0.02237077,0.02237077,-0.02237077,0.02237077
24.0,5.0,-0.5021913369999998,1000.0,-0.2626152220510355,1000.0,-0.02237077,0.02237077,0.1,0.00822974630413737,2.510956684999999,1.3130761102551773,0.0,6.175967204744821,-0.02237077,0.02237077,0.0,-0.02237077,0.02237077,2.510956684999999,1.3130761102551773,0.0,0.0,5.0,-0.5021913369999998,1000.0,-0.2626152220510355,1000.0,-1000.0,0.00822974630413737,-0.2,2.510956684999999,1.3130761102551773,0.00822974630413737,0.0,1000.0,-0.5021913369999998,1000.0,-0.2626152220510355,1000.0,0.0,0.0,0.0,0.0,0.02237077,0.02237077,0.02237077,-0.02237077,0.02237077
25.0,5.0,-0.5005453877999998,1000.0,-0.23919040720470477,1000.0,-0.008229746,0.008229746,0.1,0.0067379463701533445,2.502726938999999,1.1959520360235238,0.0,6.301321024976474,-0.008229746,0.008229746,0.0,-0.008229746,0.008229746,2.502726938999999,1.1959520360235238,0.0,0.0,5.0,-0.5005453877999998,1000.0,-0.23919040720470477,1000.0,-1000.0,0.0067379463701533445,-0.2,2.502726938999999,1.1959520360235238,0.0067379463701533445,0.0,1000.0,-0.5005453877999998,1000.0,-0.23919040720470477,1000.0,0.0,0.0,0.0,0.0,0.008229746,0.008229746,0.008229746,-0.008229746,0.008229746
26.0,5.0,-0.4988994385999998,1000.0,-0.21799475822219957,1000.0,-0.008229746,0.008229746,0.1,0.005516563890443088,2.494497192999999,1.089973791110998,0.0,6.415529015889,-0.008229746,0.008229746,0.0,-0.008229746,0.008229746,2.494497192999999,1.089973791110998,0.0,0.0,5.0,-0.4988994385999998,1000.0,-0.21799475822219957,1000.0,-1000.0,0.005516563890443088,-0.2,2.494497192999999,1.089973791110998,0.005516563890443088,0.0,1000.0,-0.4988994385999998,1000.0,-0.21799475822219957,1000.0,0.0,0.0,0.0,0.0,0.008229746,0.008229746,0.008229746,-0.008229746,0.008229746
27.0,5.0,-0.4972534893999998,1000.0,-0.19881614192419975,1000.0,-0.008229746,0.008229746,0.1,0.00451658049603435,2.486267446999999,0.9940807096209987,0.0,6.519651843378999,-0.008229746,0.008229746,0.0,-0.008229746,0.008229746,2.486267446999999,0.9940807096209987,0.0,0.0,5.0,-0.4972534893999998,1000.0,-0.19881614192419975,1000.0,-1000.0,0.00451658049603435,-0.2,2.486267446999999,0.9940807096209987,0.00451658049603435,0.0,1000.0,-0.4972534893999998,1000.0,-0.19881614192419975,1000.0,0.0,0.0,0.0,0.0,0.008229746,0.008229746,0.008229746,-0.008229746,0.008229746
28.0,5.0,-0.4956075401999997,1000.0,-0.18146261227245775,1000.0,-0.008229746,0.008229746,0.1,0.0036978633409076502,2.4780377009999985,0.9073130613622887,0.0,6.6146492376377095,-0.008229746,0.008229746,0.0,-0.008229746,0.008229746,2.4780377009999985,0.9073130613622887,0.0,0.0,5.0,-0.4956075401999997,1000.0,-0.18146261227245775,1000.0,-1000.0,0.0036978633409076502,-0.2,2.4780377009999985,0.9073130613622887,0.0036978633409076502,0.0,1000.0,-0.4956075401999997,1000.0,-0.18146261227245775,1000.0,0.0,0.0,0.0,0.0,0.008229746,0.008229746,0.008229746,-0.008229746,0.008229746
29.0,5.0,-0.4939615909999997,1000.0,-0.165760489309331,1000.0,-0.008229746,0.008229746,0.1,0.003027554429919116,2.4698079549999985,0.8288024465466549,0.0,6.701389598453344,-0.008229746,0.008229746,0.0,-0.008229746,0.008229746,2.4698079549999985,0.8288024465466549,0.0,0.0,5.0,-0.4939615909999997,1000.0,-0.165760489309331,1000.0,-1000.0,0.003027554429919116,-0.2,2.4698079549999985,0.8288024465466549,0.003027554429919116,0.0,1000.0,-0.4939615909999997,1000.0,-0.165760489309331,1000.0,0.0,0.0,0.0,0.0,0.008229746,0.008229746,0.008229746,-0.008229746,0.008229746
30.0,5.0,-0.4933560801999997,1000.0,-0.15056251286476913,1000.0,-0.003027554,0.003027554,0.1,0.002478751911958909,2.4667804009999985,0.7528125643238457,0.0,6.780407034676153,-0.003027554,0.003027554,0.0,-0.003027554,0.003027554,2.4667804009999985,0.7528125643238457,0.0,0.0,5.0,-0.4933560801999997,1000.0,-0.15056251286476913,1000.0,-1000.0,0.002478751911958909,-0.2,2.4667804009999985,0.7528125643238457,0.002478751911958909,0.0,1000.0,-0.4933560801999997,1000.0,-0.15056251286476913,1000.0,0.0,0.0,0.0,0.0,0.003027554,0.003027554,0.003027554,-0.003027554,0.003027554
31.0,5.0,-0.4927505693999997,1000.0,-0.13681081509997167,1000.0,-0.003027554,0.003027554,0.1,0.0020294304144477006,2.4637528469999985,0.6840540754998584,0.0,6.852193077500141,-0.003027554,0.003027554,0.0,-0.003027554,0.003027554,2.4637528469999985,0.6840540754998584,0.0,0.0,5.0,-0.4927505693999997,1000.0,-0.13681081509997167,1000.0,-1000.0,0.0020294304144477006,-0.2,2.4637528469999985,0.6840540754998584,0.0020294304144477006,0.0,1000.0,-0.4927505693999997,1000.0,-0.13681081509997167,1000.0,0.0,0.0,0.0,0.0,0.003027554,0.003027554,0.003027554,-0.003027554,0.003027554
