,time,[Ac],[C1__Ac],[C1__Glcxt],[C1__O2],[C1__X],[Glcxt],[O2],[X],[dummy],C1__v1,C1__v2,C1__v3,C1__v4,C2__a_uptake,C2__g_uptake,C2__growth,C2__o_uptake,a_uptake,g_uptake,growth,o2_transport,o_uptake,C1__default_max,C1__default_min,C1__default_neg_min,C2__Km,C3__Km,C3__max_X,Km,X_max,X_min,a_rate_uptake,a_uptake_max,a_uptake_min,dt,g_rate_uptake,g_uptake_max,g_uptake_min,o_rate_uptake,o_uptake_max,o_uptake_min,x_rate_growth
0.32,0.32,0.3994122677172378,0.0,0.0,0.0,0.0,10.79617334503816,0.2076810264770424,0.0014194146946648759,0.0,0.03889839622064168,1.0556157997118836,0.0,0.0,0.0021770468233181677,0.014174453228177631,0.0015535695332259375,0.021291220419973132,1.5337637629799015,9.98612546527442,1.0945141959325253,0.01739230142218197,14.999999999999995,1000.0,0.0,-1000.0,0.001,0.015,0.012364556653990128,0.015,1000.0,-1000.0,1.5337637629799015,1000.0,-1000.0,0.01,9.98612546527442,9.98612546527442,0.0,14.999999999999995,15.0,0.0,1.0945141959325253
0.33,0.33,0.39939037767270746,0.0,0.0,0.0,0.0,10.796030821961011,0.20764232273476319,0.0014350357212312356,0.0,0.03889840335803879,1.05561578037683,0.0,0.0,0.00220100619166481,0.014330446496883868,0.0015706669510537846,0.021525535818468538,1.5337640444074696,9.986125282364814,1.0945141837348689,0.017682579489276054,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.012380177558579925,0.015,1000.0,-1000.0,1.5337640444074696,1000.0,-1000.0,0.01,9.986125282364814,9.986125282364814,0.0,15.000000000000002,15.0,0.0,1.0945141837348689
0.34,0.34,0.3993682467185051,0.0,0.0,0.0,0.0,10.795886730383108,0.2076041455936668,0.0014508286610659938,0.0,0.03889841057417561,1.0556157608284715,0.0,0.0,0.0022252292477464315,0.014488156504352534,0.0015879525298138583,0.021762429915989905,1.5337643289397442,9.986125097437341,1.0945141714026472,0.01796890804749894,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012395970375092465,0.015,1000.0,-1000.0,1.5337643289397442,1000.0,-1000.0,0.01,9.986125097437341,9.986125097437341,0.0,14.999999999999998,15.0,0.0,1.0945141714026472
0.35000000000000003,0.35000000000000003,0.39934587220326956,0.0,0.0,0.0,0.0,10.79574105304277,0.20756643202152308,0.001466795406113807,0.0,0.038898417869923464,1.0556157410644487,0.0,0.0,0.0022497188937050396,0.014647602143555587,0.0016054283402514543,0.022001931091707103,1.533764616611082,9.986124910469686,1.094514158934372,0.01825175983857681,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012411936995457529,0.015,1000.0,-1000.0,1.533764616611082,1000.0,-1000.0,0.01,9.986124910469686,9.986124910469686,0.0,14.999999999999998,15.0,0.0,1.094514158934372
0.36,0.36,0.39932325144645936,0.0,0.0,0.0,0.0,10.79559377248835,0.20752912326565284,0.001482937869140074,0.0,0.03889842524616246,1.055615721082377,0.0,0.0,0.0022744780636248987,0.01480880251537819,0.0016230964759001113,0.022244068037101102,1.5337649074561857,9.986124721439285,1.0945141463285393,0.01853157550760362,14.999999999999995,1000.0,0.0,-1000.0,0.001,0.015,0.012428079332425467,0.015,1000.0,-1000.0,1.5337649074561857,1000.0,-1000.0,0.01,9.986124721439285,9.986124721439285,0.0,14.999999999999995,15.0,0.0,1.0945141463285393
0.37,0.37,0.3993003817380309,0.0,0.0,0.0,0.0,10.795444871076144,0.20749216454068428,0.0014992579839605143,0.0,0.038898432703783015,1.055615700879844,0.0,0.0,0.0022995097238849207,0.014971776930911184,0.0016409590533328778,0.022488869759407698,1.5337652015101642,9.986124530323323,1.094514133583627,0.018808765944867828,14.99999999999999,1000.0,0.0,-1000.0,0.001,0.015,0.012444399319796785,0.015,1000.0,-1000.0,1.5337652015101642,1000.0,-1000.0,0.01,9.986124530323323,9.986124530323323,0.0,14.99999999999999,15.0,0.0,1.094514133583627
0.38,0.38,0.3992772603381141,0.0,0.0,0.0,0.0,10.795294330968275,0.20745550473882943,0.0015157577056728274,0.0,0.03889844024368588,1.0556156804544112,0.0,0.0,0.0023248168735141637,0.015136544913764358,0.0016590182124158598,0.02273636558509241,1.5337654988085343,9.986124337098731,1.094514120698097,0.01908371445877924,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012460898912653798,0.015,1000.0,-1000.0,1.5337654988085343,1000.0,-1000.0,0.01,9.986124337098731,9.986124337098731,0.0,14.999999999999998,15.0,0.0,1.094514120698097
0.39,0.39,0.39925388447668403,0.0,0.0,0.0,0.0,10.795142134130558,0.20741909616106274,0.0015324390108908998,0.0,0.03889844786678017,1.055615659803614,0.0,0.0,0.002350402544551122,0.015303126202405135,0.0016772761165645546,0.022986585163363493,1.533765799387142,9.986124141742188,1.0945141076703941,0.019356778792029364,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012477580087594841,0.015,1000.0,-1000.0,1.533765799387142,1000.0,-1000.0,0.01,9.986124141742188,9.986124141742188,0.0,14.999999999999998,15.0,0.0,1.0945141076703941
0.4,0.4,0.39923025135322865,0.0,0.0,0.0,0.0,10.794988262330332,0.2073828942676889,0.001549303897981593,0.0,0.03889845557398652,1.0556156389249582,0.0,0.0,0.0023762698024072885,0.015471540752523022,0.001695734953003009,0.02323955846972388,1.5337661032822887,9.986123944230105,1.0945140944989449,0.01962829299233311,14.99999999999999,1000.0,0.0,-1000.0,0.001,0.015,0.012494444842971042,0.015,1000.0,-1000.0,1.5337661032822887,1000.0,-1000.0,0.01,9.986123944230105,9.986123944230105,0.0,14.99999999999999,15.0,0.0,1.0945140944989449
0.41000000000000003,0.41000000000000003,0.3992063581364145,0.0,0.0,0.0,0.0,10.794832697134293,0.20734685744690423,0.0015663543873035114,0.0,0.03889846336623611,1.0556156178159237,0.0,0.0,0.0024024217462335047,0.015641808739413867,0.0017143969330251478,0.023495315809552667,1.5337664105306898,9.98612374453864,1.0945140811821599,0.019898569148218206,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.01251149519912511,0.015,1000.0,-1000.0,1.5337664105306898,1000.0,-1000.0,0.01,9.98612374453864,9.98612374453864,0.0,14.999999999999998,15.0,0.0,1.0945140811821599
